event_type,date,time,summary,description,region,importance,recurring,source,created_at,updated_at
market_holiday,2025-01-01,終日,🇺🇸 元日 (New Year's Day),米国株式市場（NYSE/NASDAQ）休場,US,high,yearly,pandas_market_calendars,2025-12-25T16:40:17.818874+09:00,2025-12-25T16:40:17.818931+09:00
market_holiday,2025-01-09,終日,🇺🇸 NYSE休場,米国株式市場（NYSE/NASDAQ）休場,US,high,yearly,pandas_market_calendars,2025-12-25T16:40:17.819017+09:00,2025-12-25T16:40:17.819022+09:00
market_holiday,2025-01-20,終日,🇺🇸 キング牧師記念日 (MLK Day),米国株式市場（NYSE/NASDAQ）休場,US,high,yearly,pandas_market_calendars,2025-12-25T16:40:17.819050+09:00,2025-12-25T16:40:17.819058+09:00
market_holiday,2025-02-17,終日,🇺🇸 大統領の日 (Presidents Day),米国株式市場（NYSE/NASDAQ）休場,US,high,yearly,pandas_market_calendars,2025-12-25T16:40:17.819160+09:00,2025-12-25T16:40:17.819177+09:00
market_holiday,2025-04-18,終日,🇺🇸 聖金曜日 (Good Friday),米国株式市場（NYSE/NASDAQ）休場,US,high,yearly,pandas_market_calendars,2025-12-25T16:40:17.819261+09:00,2025-12-25T16:40:17.819266+09:00
market_holiday,2025-05-26,終日,🇺🇸 戦没者追悼記念日 (Memorial Day),米国株式市場（NYSE/NASDAQ）休場,US,high,yearly,pandas_market_calendars,2025-12-25T16:40:17.819289+09:00,2025-12-25T16:40:17.819292+09:00
market_holiday,2025-06-19,終日,🇺🇸 ジューンティーンス (Juneteenth),米国株式市場（NYSE/NASDAQ）休場,US,high,yearly,pandas_market_calendars,2025-12-25T16:40:17.819316+09:00,2025-12-25T16:40:17.819318+09:00
market_holiday,2025-07-04,終日,🇺🇸 独立記念日 (Independence Day),米国株式市場（NYSE/NASDAQ）休場,US,high,yearly,pandas_market_calendars,2025-12-25T16:40:17.819331+09:00,2025-12-25T16:40:17.819333+09:00
market_holiday,2025-09-01,終日,🇺🇸 労働者の日 (Labor Day),米国株式市場（NYSE/NASDAQ）休場,US,high,yearly,pandas_market_calendars,2025-12-25T16:40:17.819353+09:00,2025-12-25T16:40:17.819355+09:00
market_holiday,2025-11-27,終日,🇺🇸 感謝祭 (Thanksgiving),米国株式市場（NYSE/NASDAQ）休場,US,high,yearly,pandas_market_calendars,2025-12-25T16:40:17.819457+09:00,2025-12-25T16:40:17.819464+09:00
market_holiday,2025-12-25,終日,🇺🇸 クリスマス (Christmas),米国株式市場（NYSE/NASDAQ）休場,US,high,yearly,pandas_market_calendars,2025-12-25T16:40:17.819489+09:00,2025-12-25T16:40:17.819492+09:00
market_holiday,2026-01-01,終日,🇺🇸 元日 (New Year's Day),米国株式市場（NYSE/NASDAQ）休場,US,high,yearly,pandas_market_calendars,2025-12-25T16:40:18.030850+09:00,2025-12-25T16:40:18.030870+09:00
market_holiday,2026-01-19,終日,🇺🇸 キング牧師記念日 (MLK Day),米国株式市場（NYSE/NASDAQ）休場,US,high,yearly,pandas_market_calendars,2025-12-25T16:40:18.031039+09:00,2025-12-25T16:40:18.031091+09:00
market_holiday,2026-02-16,終日,🇺🇸 大統領の日 (Presidents Day),米国株式市場（NYSE/NASDAQ）休場,US,high,yearly,pandas_market_calendars,2025-12-25T16:40:18.031159+09:00,2025-12-25T16:40:18.031162+09:00
market_holiday,2026-04-03,終日,🇺🇸 聖金曜日 (Good Friday),米国株式市場（NYSE/NASDAQ）休場,US,high,yearly,pandas_market_calendars,2025-12-25T16:40:18.031192+09:00,2025-12-25T16:40:18.031195+09:00
market_holiday,2026-05-25,終日,🇺🇸 戦没者追悼記念日 (Memorial Day),米国株式市場（NYSE/NASDAQ）休場,US,high,yearly,pandas_market_calendars,2025-12-25T16:40:18.031246+09:00,2025-12-25T16:40:18.031275+09:00
market_holiday,2026-06-19,終日,🇺🇸 ジューンティーンス (Juneteenth),米国株式市場（NYSE/NASDAQ）休場,US,high,yearly,pandas_market_calendars,2025-12-25T16:40:18.031341+09:00,2025-12-25T16:40:18.031349+09:00
market_holiday,2026-07-03,終日,🇺🇸 NYSE休場,米国株式市場（NYSE/NASDAQ）休場,US,high,yearly,pandas_market_calendars,2025-12-25T16:40:18.031374+09:00,2025-12-25T16:40:18.031377+09:00
market_holiday,2026-09-07,終日,🇺🇸 労働者の日 (Labor Day),米国株式市場（NYSE/NASDAQ）休場,US,high,yearly,pandas_market_calendars,2025-12-25T16:40:18.031408+09:00,2025-12-25T16:40:18.031411+09:00
market_holiday,2026-11-26,終日,🇺🇸 感謝祭 (Thanksgiving),米国株式市場（NYSE/NASDAQ）休場,US,high,yearly,pandas_market_calendars,2025-12-25T16:40:18.031445+09:00,2025-12-25T16:40:18.031447+09:00
market_holiday,2026-12-25,終日,🇺🇸 クリスマス (Christmas),米国株式市場（NYSE/NASDAQ）休場,US,high,yearly,pandas_market_calendars,2025-12-25T16:40:18.031466+09:00,2025-12-25T16:40:18.031469+09:00
