date,close,volume,symbol
2025-12-15,25.81999969482422,50190000,SOFI
2025-12-16,26.579999923706055,44364700,SOFI
2025-12-17,25.270000457763672,49987000,SOFI
2025-12-18,26.290000915527344,45162700,SOFI
2025-12-19,27.239999771118164,43950600,SOFI
2025-12-22,27.350000381469727,36160700,SOFI
2025-12-23,27.190000534057617,26377300,SOFI
2025-12-24,27.479999542236328,14424700,SOFI
2025-12-26,27.06999969482422,24735600,SOFI
2025-12-29,26.81999969482422,26021100,SOFI
2025-12-30,26.559999465942383,28429400,SOFI
2025-12-31,26.18000030517578,34070300,SOFI
2026-01-02,27.459999084472656,55065600,SOFI
2026-01-05,29.280000686645508,73826300,SOFI
2026-01-06,26.979999542236328,120271300,SOFI
2026-01-07,27.0,43444900,SOFI
2026-01-08,27.719999313354492,50496100,SOFI
2026-01-09,27.399999618530273,43777000,SOFI
2026-01-12,26.600000381469727,49134000,SOFI
2026-01-13,27.139999389648438,45562900,SOFI
2026-01-14,26.670000076293945,40864200,SOFI
2026-01-15,26.440000534057617,47958300,SOFI
2026-01-16,26.1299991607666,40832300,SOFI
2026-01-20,25.489999771118164,37001100,SOFI
2026-01-21,25.639999389648438,50248300,SOFI
2026-01-22,26.09000015258789,35356300,SOFI
2026-01-23,25.850000381469727,34264200,SOFI
2026-01-26,25.799999237060547,36320300,SOFI
2026-01-27,25.459999084472656,38768100,SOFI
2026-01-28,24.600000381469727,48776100,SOFI
2026-01-29,24.360000610351562,67935300,SOFI
2026-01-30,22.809999465942383,131667900,SOFI
2026-02-02,22.079999923706055,64063800,SOFI
2026-02-03,21.760000228881836,92380200,SOFI
2026-02-04,20.75,85930900,SOFI
2026-02-05,19.459999084472656,87454700,SOFI
2026-02-06,20.860000610351562,67020900,SOFI
2026-02-09,21.350000381469727,64079400,SOFI
2026-02-10,21.18000030517578,55796600,SOFI
2026-02-11,20.549999237060547,52565000,SOFI
2026-02-12,19.299999237060547,63515100,SOFI
2026-02-13,19.610000610351562,43139300,SOFI
2026-02-17,19.510000228881836,49681800,SOFI
2026-02-18,19.540000915527344,59588800,SOFI
2026-02-19,19.299999237060547,53391100,SOFI
2026-02-20,19.020000457763672,68347500,SOFI
2025-12-15,46.06999969482422,22526900,IONQ
2025-12-16,49.66999816894531,16642300,IONQ
2025-12-17,45.849998474121094,20237900,IONQ
2025-12-18,46.439998626708984,16218500,IONQ
2025-12-19,48.47999954223633,30432900,IONQ
2025-12-22,53.86000061035156,28897200,IONQ
2025-12-23,51.38999938964844,15263300,IONQ
2025-12-24,49.81999969482422,10354100,IONQ
2025-12-26,46.0,19679600,IONQ
2025-12-29,45.25,17259800,IONQ
2025-12-30,45.310001373291016,13552200,IONQ
2025-12-31,44.869998931884766,11437000,IONQ
2026-01-02,46.77000045776367,17122100,IONQ
2026-01-05,48.709999084472656,20311300,IONQ
2026-01-06,50.7599983215332,16937500,IONQ
2026-01-07,49.779998779296875,14297200,IONQ
2026-01-08,50.45000076293945,16618400,IONQ
2026-01-09,49.45000076293945,13686000,IONQ
2026-01-12,50.95000076293945,16782300,IONQ
2026-01-13,48.939998626708984,14487700,IONQ
2026-01-14,50.880001068115234,16602100,IONQ
2026-01-15,47.560001373291016,21022800,IONQ
2026-01-16,50.79999923706055,23266200,IONQ
2026-01-20,50.65999984741211,24568200,IONQ
2026-01-21,48.33000183105469,31821400,IONQ
2026-01-22,49.33000183105469,17661900,IONQ
2026-01-23,47.25,14734200,IONQ
2026-01-26,43.369998931884766,39551400,IONQ
2026-01-27,45.4900016784668,25181300,IONQ
2026-01-28,45.79999923706055,18945000,IONQ
2026-01-29,43.2400016784668,22225500,IONQ
2026-01-30,39.97999954223633,23741900,IONQ
2026-02-02,38.560001373291016,21598100,IONQ
2026-02-03,38.470001220703125,19966100,IONQ
2026-02-04,35.34000015258789,32378000,IONQ
2026-02-05,30.43000030517578,33123400,IONQ
2026-02-06,34.9900016784668,32508100,IONQ
2026-02-09,35.47999954223633,16620800,IONQ
2026-02-10,35.189998626708984,13807900,IONQ
2026-02-11,33.61000061035156,16057000,IONQ
2026-02-12,31.299999237060547,18115200,IONQ
2026-02-13,34.11000061035156,21567100,IONQ
2026-02-17,33.18000030517578,13735200,IONQ
2026-02-18,33.34000015258789,13374800,IONQ
2026-02-19,33.43000030517578,13722100,IONQ
2026-02-20,31.899999618530273,15727200,IONQ
